Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/__tests__/MultiRequire.js Map 66 13 234
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/predicates/isOrdered.js isOrdered 3 7 8861 =======> 0.452069699764
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/toJS.js toJS 6 7 8965 =======> 0.891487717628
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/toJS.js nan 18 20 8987 =======> 0.027376830578
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/toJS.js nan 24 18 8995 =======> 0.099985346198
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/utils/arrCopy.js arrCopy 2 15 9002 =======> 0.870476663113
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/utils/assertNotInfinite.js assertNotInfinite 3 15 9026 =======> 0.882628679276
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/utils/deepEqual.js deepEqual 9 15 9077 =======> 0.865258634090
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/utils/deepEqual.js nan 36 14 9110 =======> 0.337926626205
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/utils/deepEqual.js nan 59 28 9139 =======> 0.031868476421
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/utils/mixin.js mixin 4 15 9243 =======> 0.631990551949
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/utils/mixin.js nan 5 20 9249 =======> 0.059455480427
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/utils/quoteString.js quoteString 4 15 9263 =======> 0.851755499840
Total edge above 0.9 ===>  2


Source =====>/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js reduce 239 11 2058
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/Collection.js nan 8 13 1645 =======> 0.342853069305
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/Collection.js nan 14 13 1656 =======> 0.406908750534
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/Collection.js nan 20 13 1666 =======> 0.264242857695
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/Collection.js nan 26 13 1676 =======> 0.361070483923
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 87 9 1864 =======> 0.296905279160
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 92 19 1878 =======> 0.673317432404
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 99 14 1886 =======> 0.392915457487
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 103 6 1889 =======> 0.128613576293
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 107 12 1893 =======> 0.155559226871
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 111 7 1897 =======> 0.092423453927
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 118 14 1902 =======> 0.105713464320
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 123 14 1907 =======> 0.101926654577
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 128 7 1915 =======> 0.117228485644
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 133 10 1922 =======> 0.552607834339
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 137 7 1926 =======> 0.355436772108
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 145 9 1936 =======> 0.116947710514
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 150 8 1943 =======> 0.107467912138
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 157 10 1950 =======> 0.213954493403
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 161 12 1953 =======> 0.240595951676
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 176 8 1966 =======> 0.133636876941
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 180 10 1973 =======> 0.140847459435
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 181 21 1978 =======> 0.736064314842
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 184 9 1982 =======> 0.120442472398
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 188 7 1987 =======> 0.831202030182
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 191 19 1994 =======> 0.652641415596
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 200 8 2003 =======> 0.538984954357
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 204 11 2008 =======> 0.231155872345
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 208 6 2012 =======> 0.764908671379
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 213 9 2021 =======> 0.321845114231
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 218 6 2029 =======> 0.524350285530
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 223 19 2039 =======> 0.749333560467
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 230 6 2045 =======> 0.120718374848
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 234 5 2048 =======> 0.205898314714
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 238 8 2054 =======> 0.135387063026
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 249 13 2062 =======> 0.134831041098
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 260 9 2066 =======> 0.094515196979
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 264 7 2071 =======> 0.830229222775
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 268 6 2077 =======> 0.842977762222
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 271 19 2081 =======> 0.643281757832
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 280 6 2087 =======> 0.127801477909
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 284 8 2092 =======> 0.119949340820
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 290 9 2096 =======> 0.106804542243
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 294 9 2101 =======> 0.114368431270
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 295 66 2106 =======> 0.870845913887
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 298 7 2108 =======> 0.251616418362
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 304 9 2115 =======> 0.092990271747
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 308 8 2120 =======> 0.080398462713
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 312 10 2125 =======> 0.096821442246
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 319 35 2139 =======> 0.028592189774
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 323 11 2143 =======> 0.208510592580
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 327 11 2148 =======> 0.787225306034
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 329 19 2152 =======> 0.567766964436
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 338 9 2159 =======> 0.697124958038
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 343 10 2164 =======> 0.191966980696
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 347 15 2170 =======> 0.189238235354
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 353 13 2176 =======> 0.221679881215
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 357 7 2182 =======> 0.122921966016
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 361 9 2186 =======> 0.206979021430
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 365 9 2191 =======> 0.080697789788
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 369 14 2196 =======> 0.113928221166
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 373 5 2200 =======> 0.572761774063
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 374 21 2204 =======> 0.855657637119
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 379 9 2209 =======> 0.093687802553
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 383 5 2213 =======> 0.173808172345
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 389 10 2217 =======> 0.250853896141
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 391 22 2224 =======> 0.818353176117
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 394 12 2227 =======> 0.334281951189
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 399 7 2234 =======> 0.159344092011
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 400 24 2237 =======> 0.761807203293
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 403 8 2240 =======> 0.111756391823
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 407 6 2247 =======> 0.150008797646
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 411 11 2253 =======> 0.143292546272
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 415 5 2259 =======> 0.136939778924
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 419 7 2263 =======> 0.238853454590
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 423 5 2267 =======> 0.136181861162
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 430 7 2275 =======> 0.229876518250
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 438 6 2281 =======> 0.117497749627
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 442 6 2285 =======> 0.198356941342
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 446 10 2293 =======> 0.203946962953
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 450 11 2300 =======> 0.620610654354
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 454 11 2305 =======> 0.218715563416
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 458 8 2310 =======> 0.233861759305
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 462 6 2315 =======> 0.177344635129
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 466 10 2320 =======> 0.175318956375
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 470 11 2326 =======> 0.636798620224
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 474 11 2331 =======> 0.215578541160
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 478 8 2336 =======> 0.147807806730
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 482 10 2340 =======> 0.167880818248
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 488 10 2344 =======> 0.261740535498
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 504 61 2354 =======> 0.031167279929
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 513 6 2362 =======> 0.112826451659
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 517 12 2367 =======> 0.253948301077
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 522 13 2375 =======> 0.791047811508
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 527 9 2380 =======> 0.218228146434
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 532 13 2387 =======> 0.677172601223
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 542 44 2391 =======> 0.639802098274
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 548 12 2396 =======> 0.106045618653
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 554 8 2399 =======> 0.210764050484
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 558 11 2404 =======> 0.179557129741
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 563 9 2411 =======> 0.296098977327
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 568 13 2418 =======> 0.116688691080
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 573 9 2424 =======> 0.093058548868
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 577 7 2428 =======> 0.465126782656
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 581 8 2433 =======> 0.588524520397
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 602 15 2455 =======> 0.186744034290
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 607 7 2461 =======> 0.122050739825
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 611 9 2464 =======> 0.080051042140
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 615 5 2468 =======> 0.885880887508
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 621 18 2474 =======> 0.713475883007
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 624 5 2475 =======> 0.568676114082
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 634 11 2482 =======> 0.082266882062
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 638 12 2487 =======> 0.108617641032
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 648 8 2504 =======> 0.108040235937
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 652 6 2507 =======> 0.119607448578
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 656 11 2511 =======> 0.208328723907
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 660 5 2516 =======> 0.082409508526
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 665 8 2526 =======> 0.083921998739
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 670 9 2535 =======> 0.058653652668
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 684 5 2545 =======> 0.233427852392
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 688 10 2549 =======> 0.151364639401
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 694 8 2552 =======> 0.155168071389
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js reduce 712 0 2560 =======> 0.594283342361
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 714 23 2565 =======> 0.704075634480
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js keyMapper 725 0 2569 =======> 0.230665832758
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js entryMapper 729 0 2571 =======> 0.152937710285
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js not 733 0 2574 =======> 0.479000747204
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 734 9 2576 =======> 0.236708521843
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js neg 739 0 2581 =======> 0.808016180992
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 740 9 2583 =======> 0.236751452088
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js defaultZipper 745 0 2587 =======> 0.194186583161
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js defaultNegComparator 749 0 2590 =======> 0.106662489474
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js hashCollection 753 0 2597 =======> 0.150167703629
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 763 10 2613 =======> 0.522332727909
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 766 10 2618 =======> 0.522332966328
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 770 8 2623 =======> 0.711997210979
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js nan 773 8 2625 =======> 0.711997210979
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js murmurHashOfSize 780 0 2630 =======> 0.796296894550
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/CollectionImpl.js hashMerge 791 0 2640 =======> 0.492952018976
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/Hash.js hash 5 7 2652 =======> 0.787370562553
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/Hash.js hashNullish 46 0 2709 =======> 0.858142852783
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/Hash.js hashNumber 51 0 2713 =======> 0.751528739929
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/Hash.js cachedHashString 66 0 2723 =======> 0.360598236322
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/Hash.js hashString 81 0 2737 =======> 0.813248693943
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/Hash.js hashSymbol 95 0 2747 =======> 0.687158882618
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/Hash.js hashJSObj 108 0 2756 =======> 0.374029159546
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/Hash.js nan 155 31 2798 =======> 0.143180504441
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/Hash.js nan 179 27 2811 =======> 0.811625361443
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/Hash.js getIENodeHash 190 0 2820 =======> 0.355033069849
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/Hash.js valueOf 201 0 2830 =======> 0.083497844636
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/Hash.js nextHash 207 0 2835 =======> 0.764800548553
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/Iterator.js nan 11 13 3075 =======> 0.691670298576
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/Iterator.js nan 15 10 3079 =======> 0.301367461681
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/Iterator.js nan 24 59 3087 =======> 0.046618826687
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/Iterator.js nan 27 38 3090 =======> 0.177796423435
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/Iterator.js iteratorValue 31 7 3093 =======> 0.789951205254
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/Iterator.js iteratorDone 42 7 3109 =======> 0.238027200103
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/Iterator.js hasIterator 46 7 3115 =======> 0.495331704617
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/Iterator.js isIterator 55 7 3129 =======> 0.352404206991
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/Iterator.js getIterator 59 7 3135 =======> 0.316392153502
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/Iterator.js getIteratorFn 64 0 3144 =======> 0.858774781227
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/Iterator.js isEntriesIterable 74 7 3150 =======> 0.285552263260
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/Iterator.js isKeysIterable 79 7 3157 =======> 0.447192430496
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/List.js nan 32 13 3243 =======> 0.685767352581
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/List.js nan 49 31 3273 =======> 0.731870293617
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/List.js nan 51 19 3279 =======> 0.519843459129
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/List.js nan 55 11 3286 =======> 0.266413420439
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/List.js nan 59 10 3292 =======> 0.057366009802
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/List.js nan 65 5 3298 =======> 0.719373881817
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/List.js nan 77 5 3312 =======> 0.649331867695
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/List.js nan 81 8 3318 =======> 0.190072283149
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/List.js nan 91 8 3334 =======> 0.264426797628
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/List.js nan 95 7 3339 =======> 0.670234143734
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/List.js nan 109 6 3355 =======> 0.097004778683
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/List.js nan 112 30 3362 =======> 0.835555195808
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/List.js nan 120 5 3372 =======> 0.152895674109
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/List.js nan 124 9 3378 =======> 0.086783938110
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/List.js nan 126 30 3382 =======> 0.761785507202
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/List.js nan 134 7 3390 =======> 0.164888709784
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/List.js nan 140 8 3395 =======> 0.364852458239
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/List.js nan 159 30 3421 =======> 0.514543533325
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/List.js nan 160 19 3423 =======> 0.186380207539
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/List.js nan 160 38 3425 =======> 0.664726912975
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/List.js nan 164 9 3428 =======> 0.118983715773
/Users/masudulhasanmasudbhuiyan/Documents/gitlab/libraries/immutable-js/src/List.js nan 168 5 3433 =======> 0.286619156599
